date,site,rep,final_chl
6/20/2023,Muddy Creek,1,235.85
6/20/2023,Muddy Creek,2,221.6
6/20/2023,Muddy Creek,3,231.48
6/20/2023,ODNR_4,1,42.3
6/20/2023,ODNR_4,2,197.39
6/20/2023,ODNR_4,3,143.14
6/20/2023,ODNR_6,1,53.82
6/20/2023,ODNR_6,2,54.64
6/20/2023,ODNR_6,3,140.48
6/20/2023,Bridge,1,3
6/20/2023,Bridge,2,51.91
6/20/2023,Bridge,3,57.13
6/20/2023,ODNR_2,1,45.13
6/20/2023,ODNR_2,2,45.02
6/20/2023,ODNR_2,3,39.94
6/20/2023,Buoy_2,1,68.4
6/20/2023,Buoy_2,2,64.95
6/20/2023,Buoy_2,3,64.4
6/20/2023,ODNR_1,1,12.2
6/20/2023,ODNR_1,2,63.15
6/20/2023,ODNR_1,3,62.17
6/20/2023,EC_1163,1,66.07
6/20/2023,EC_1163,2,68.13
6/20/2023,EC_1163,3,59.93
6/20/2023,Causeway,1,21.87
6/20/2023,Causeway,2,67.09
6/20/2023,Causeway,3,47.39
6/27/2023,Muddy Creek,1,10.58
6/27/2023,Muddy Creek,2,161.28
6/27/2023,Muddy Creek,3,162.91
6/27/2023,ODNR_4,1,96.94
6/27/2023,ODNR_4,2,236.28
6/27/2023,ODNR_4,3,231.59
6/27/2023,ODNR_6,1,77.75
6/27/2023,ODNR_6,2,80.37
6/27/2023,ODNR_6,3,72.22
6/27/2023,Bridge,1,73.37
6/27/2023,Bridge,2,49.06
6/27/2023,Bridge,3,64.12
6/27/2023,ODNR_2,1,53.1
6/27/2023,ODNR_2,2,45.37
6/27/2023,ODNR_2,3,23.81
6/27/2023,Buoy_2,1,52.51
6/27/2023,Buoy_2,2,49.7
6/27/2023,Buoy_2,3,25.43
6/27/2023,ODNR_1,1,10.42
6/27/2023,ODNR_1,2,35.09
6/27/2023,ODNR_1,3,64.14
6/27/2023,EC_1163,1,30.57
6/27/2023,EC_1163,2,36.63
6/27/2023,EC_1163,3,34.98
6/27/2023,Causeway,1,69.47
6/27/2023,Causeway,2,80.35
6/27/2023,Causeway,3,67.39
6/27/2023,Bells,1,45.83
6/27/2023,Bells,2,41.65
6/27/2023,Bells,3,32.88
