Date,Site,Nitrate_NO2 ,Ammonium ,Nitrite ,DRP ,Silicate ,Nitrate ,TP ,TKN ,TN ,TN_TP,location
6/6/2023,ODNR 1,8.18,1.13,0.23,0,10.1,7.96,2.6,57.7,65.88,25.36,Outer Bay
6/6/2023,EC 1163,23.34,0.85,0.33,0.01,18.13,23.04,2.12,42.84,66.18,31.29,Outer Bay
6/6/2023,Causeway,18.59,2.01,0.49,0.01,20.82,18.11,1.47,37.66,56.25,38.32,Outer Bay
6/6/2023,Bells,43.71,4.64,0.38,0.27,28.69,43.39,1.52,24.89,68.6,45.03,Lake Erie
6/13/2023,Muddy Creek,3.66,13.44,0.59,1.1,41.62,3.07,7.84,107.5,111.16,14.17,Inner Bay
6/13/2023,ODNR 4,0.78,2.37,0.08,0.9,31.9,0.7,6.15,98.56,99.33,16.14,Inner Bay
6/13/2023,ODNR 6,0.03,0.85,0.05,0.48,16.59,0,4.1,73.34,73.38,17.88,Inner Bay
6/13/2023,Bridge,0.4,1.62,0.08,0.29,30.43,0.32,4.2,81.59,81.98,19.52,Inner Bay
6/13/2023,ODNR 2,0.49,2.71,0.06,0.37,24.58,0.43,3.94,71.89,72.38,18.39,Outer Bay
6/13/2023,Buoy 2,0.04,0.13,0.04,0.28,20.29,0,3.42,60.05,60.09,17.56,Outer Bay
6/13/2023,ODNR 1,0.16,0,0.03,0.3,23.39,0.14,3.64,62.7,62.86,17.25,Outer Bay
6/13/2023,EC 1163,25.6,1.8,0.28,0.15,27.83,25.36,1.94,34.43,60.03,31.02,Outer Bay
6/13/2023,Causeway,10.79,2.39,0.36,0,31.92,10.45,2.31,49.84,60.63,26.3,Outer Bay
6/13/2023,Bells,45.35,3.28,0.42,0.33,41.43,45.02,1.07,18.23,63.58,59.22,Lake Erie
6/20/2023,Muddy Creek,491.23,2.61,8.91,0.06,41.89,359.83,2.56,104.01,595.24,232.52,Inner Bay
6/20/2023,ODNR 4,11.16,1.94,0.29,0.23,20.23,10.88,6.63,113.13,124.28,18.75,Inner Bay
6/20/2023,ODNR 6,1.18,2.65,0.14,0.31,26.6,1.04,3.21,72.79,73.96,23.07,Inner Bay
6/20/2023,Bridge,0.98,3.99,0.12,0.26,25.73,0.85,2.84,66.63,67.61,23.77,Inner Bay
6/20/2023,ODNR 2,1.5,3.7,0.02,0.25,25.82,1.48,2.75,56.56,58.06,21.09,Outer Bay
6/20/2023,Buoy 2,2.13,0.74,0.23,0.06,12.81,1.9,3.22,72.89,75.02,23.33,Outer Bay
6/20/2023,ODNR 1,21.67,0.64,0.65,0,19.67,21.06,2.27,53.9,75.57,33.25,Outer Bay
6/20/2023,EC 1163,31.23,0.19,0.91,0,22.52,30.37,2.12,51.71,82.94,39.08,Outer Bay
6/20/2023,Causeway,14.25,2.79,0.41,0.01,28.53,13.87,1.9,44.88,59.13,31.2,Outer Bay
6/27/2023,Muddy Creek,1261.6,6.95,25.85,0.46,57.41,1235.75,3.01,36.26,1297.87,431.9,Inner Bay
6/27/2023,ODNR 4,565.45,2.08,12.07,0.24,2.24,553.38,6.08,10.76,576.22,94.77,Inner Bay
6/27/2023,ODNR 6,4.38,8.28,0.4,0.97,10.85,3.98,4.55,76.71,81.09,17.81,Inner Bay
6/27/2023,Bridge,5.85,8.06,0.52,0.56,16.16,5.33,3.8,74.02,79.86,21.03,Inner Bay
6/27/2023,ODNR 2,1.25,6.12,0.2,0.33,12.32,1.05,2.95,65.12,66.37,22.47,Outer Bay
6/27/2023,Buoy 2,18.12,12.04,0.59,0.44,13.61,17.57,2.97,56.14,74.26,25,Outer Bay
6/27/2023,ODNR 1,24.29,5.18,0.44,0.11,8.49,23.9,2.19,42.36,66.65,30.43,Outer Bay
6/27/2023,EC 1163,48.09,6.23,0.8,0.05,19.69,47.41,1.68,32.98,81.07,48.18,Outer Bay
6/27/2023,Causeway,18.31,7.8,0.52,0.02,15.71,17.82,2.42,51.3,69.61,28.74,Outer Bay
6/27/2023,Bells,33.43,5.66,0.62,0.07,15.28,32.89,1,32.47,65.9,66.03,Lake Erie
7/11/2023,Muddy Creek,530.16,0.029,6.198,0.093,88.354,427.932,3.8825,68.955,599.115,154.3116549,Inner Bay
7/11/2023,ODNR 4,142.15,0.751,3.264,0.069,31.209,140.643,3.487,88.9135,231.0635,66.26426728,Inner Bay
7/11/2023,ODNR 6,20.714,0,0.805,0.045,37.066,19.925,4.386,114.088,134.802,30.73461012,Inner Bay
7/11/2023,Bridge,0.529,16.452,0.02,0.015,29.653,0.51,3.6195,92.6785,93.2075,25.75148501,Inner Bay
7/11/2023,ODNR 2,0.605,0,0.013,0.064,27.854,0.592,2.893,72.2975,72.9025,25.19961977,Outer Bay
7/11/2023,Buoy 2,0.276,0.263,0.013,0.034,19.8,0.262,2.4645,66.1425,66.4185,26.9500913,Outer Bay
7/11/2023,ODNR 1,0.23,0.728,0.011,0.032,22.862,0.22,2.7135,67.7455,67.9755,25.05085683,Outer Bay
7/11/2023,EC 1163,2.392,0.838,0.198,0.015,8.224,2.194,1.9305,63.6715,66.0635,34.22092722,Outer Bay
7/11/2023,Causeway,0.189,0,0.003,0.008,44.925,0.186,1.8015,47.3935,47.5825,26.41271163,Outer Bay
7/11/2023,Bells,25.758,0,0.602,0.007,14.487,25.181,0.7295,24.525,50.283,68.9280329,Lake Erie
7/18/2023,Muddy Creek,353.21,0.533,5.58,0.184,70.06,336.508,3.717,69.345,422.555,113.6817326,Inner Bay
7/18/2023,ODNR 4,0.805,0.776,0.03,0.051,37.859,0.776,3.928,90.831,91.636,23.32892057,Inner Bay
7/18/2023,ODNR 6,0.544,0,0.019,0.362,44.769,0.526,4.503,103.1255,103.6695,23.02231845,Inner Bay
7/18/2023,Bridge,0.28,0,0,0.088,26.2,0.283,3.32,73.2655,73.5455,22.15225904,Inner Bay
7/18/2023,ODNR 2,0.243,0.234,0.011,0.075,23.999,0.232,3.097,75.9415,76.1845,24.59945108,Outer Bay
7/18/2023,Buoy 2,2.459,0,0.296,0.079,27.959,2.162,2.4535,59.4425,61.9015,25.22987569,Outer Bay
7/18/2023,ODNR 1,3.119,0,0.201,0.006,17.581,2.92,1.917,51.073,54.192,28.26917058,Outer Bay
7/18/2023,EC 1163,17.72,0,0.631,0.023,13.444,17.104,0.92,33.1335,50.8535,55.27554348,Outer Bay
7/18/2023,Causeway,0.172,0,0,0.02,40.299,0.172,1.6635,50.119,50.291,30.23204088,Outer Bay
7/18/2023,Bells,11.291,0,0.502,0.009,16.387,10.796,1.309,45.0405,56.3315,43.03399542,Lake Erie
7/25/2023,Muddy Creek,124.92,0,3.59,0.044,24.057,117.937,4.494,100.88,225.8,50.24477081,Inner Bay
7/25/2023,ODNR 4,0.067,0,0.044,0.152,43.784,0.022,4.364,84.257,84.324,19.32263978,Inner Bay
7/25/2023,ODNR 6,0.091,0,0.021,0.71,85.483,0.069,4.725,98.0555,98.1465,20.77174603,Inner Bay
7/25/2023,Bridge,0.009,0,0.01,0.464,61.814,0,4.63,102.5865,102.5955,22.15885529,Inner Bay
7/25/2023,ODNR 2,0.045,0,0.002,0.041,50.926,0.044,2.8945,65.937,65.982,22.79564692,Outer Bay
7/25/2023,Buoy 2,0.05,0,0,0.024,48.711,0.055,2.43,61.649,61.699,25.39053498,Outer Bay
7/25/2023,ODNR 1,0.054,0,0,0.302,63.168,0.057,3.545,76.0485,76.1025,21.46755994,Outer Bay
7/25/2023,EC 1163,0.022,0,0,0.023,51.082,0.027,2.834,68.7785,68.8005,24.27681722,Outer Bay
7/25/2023,Causeway,0.075,0,0.004,0.026,51.205,0.072,1.6855,49.327,49.402,29.30999703,Outer Bay
7/25/2023,Bells,13.19,0,1.735,0.011,22.359,11.446,0.6595,28.044,41.234,62.52312358,Lake Erie
8/1/2023,Muddy Creek,2.3,0.346,0.592,0.355,3.515,1.701,6.293,111.7265,114.0265,18.11957731,Inner Bay
8/1/2023,ODNR 4,0.282,0.467,0.029,0.965,49.395,0.253,5.1535,79.659,79.941,15.51198215,Inner Bay
8/1/2023,ODNR 6,0.129,0.436,0.018,1.274,105.811,0.111,4.689,85.049,85.178,18.16549371,Inner Bay
8/1/2023,Bridge,0.101,0,0,0.564,70.027,0.102,3.9655,77.2455,77.3465,19.50485437,Inner Bay
8/1/2023,ODNR 2,0.129,0,0.001,0.213,62.028,0.129,2.778,55.081,55.21,19.87401008,Outer Bay
8/1/2023,Buoy 2,0.243,0,0.012,0.075,63.037,0.231,2.566,53.4365,53.6795,20.91952455,Outer Bay
8/1/2023,ODNR 1,1.869,0.051,0.22,0.03,60.815,1.648,2.4655,56.02,57.889,23.47961874,Outer Bay
8/1/2023,EC 1163,0.157,0,0,0.018,50.911,0.157,1.473,41.709,41.866,28.42226748,Outer Bay
8/1/2023,Causeway,0.222,0.33,0.008,0.015,66.302,0.214,1.9765,52.341,52.563,26.59397926,Outer Bay
8/1/2023,Bells,15.227,0,1.166,0.014,28.205,14.064,0.522,23.5155,38.7425,74.21934866,Lake Erie
8/8/2023,Muddy Creek,8.041,224.9,0.795,1.042,26.949,7.245,6.5765,103.2465,111.2875,16.92199498,Inner Bay
8/8/2023,ODNR 4,0.536,2.302,0.102,1.863,129.238,0.433,5.8015,80.7495,81.2855,14.01111781,Inner Bay
8/8/2023,ODNR 6,0.189,6.059,0.026,1.307,118.574,0.163,4.977,80.0885,80.2775,16.1296966,Inner Bay
8/8/2023,Bridge,0.136,0,0.021,1.324,92.893,0.114,4.9205,83.853,83.989,17.06920028,Inner Bay
8/8/2023,ODNR 2,0.252,0,0.024,0.849,89.874,0.228,3.9615,71.084,71.336,18.00732046,Outer Bay
8/8/2023,Buoy 2,0.151,0.184,0.009,1.091,84.687,0.142,3.952,62.254,62.405,15.79073887,Outer Bay
8/8/2023,ODNR 1,0.123,0.396,0.004,1.751,91.879,0.119,4.5795,64.0615,64.1845,14.01561306,Outer Bay
8/8/2023,EC 1163,0.134,1.268,0.005,0.492,81.733,0.129,2.931,55.1235,55.2575,18.85278062,Outer Bay
8/8/2023,Causeway,0.23,2.404,0.025,0.101,71.109,0.205,2.2775,51.3245,51.5545,22.63644347,Outer Bay
8/15/2023,Muddy Creek,1.024,3.372,0.208,1.747,39.709,0.815,6.915,90.8435,91.8675,13.28524946,Inner Bay
8/15/2023,ODNR 4,0.157,0,0.044,1.546,83.757,0.112,5.863,79.1765,79.3335,13.53121269,Inner Bay
8/15/2023,ODNR 6,0.34,0.12,0.04,0.984,144.52,0.3,3.7015,67.817,68.157,18.41334594,Inner Bay
8/15/2023,Bridge,0.579,0,0.062,0.904,89.204,0.517,4.2695,70.5175,71.0965,16.6521841,Inner Bay
8/15/2023,ODNR 2,0.34,0,0.02,0.827,83.427,0.32,3.7435,58.3585,58.6985,15.68011219,Outer Bay
8/15/2023,Buoy 2,0.125,0,0.013,0.858,85.165,0.112,3.357,56.46,56.585,16.85582365,Outer Bay
8/15/2023,ODNR 1,0.112,0,0.034,0.604,72.449,0.077,3.011,55.688,55.8,18.53204915,Outer Bay
8/15/2023,EC 1163,0.037,0,0.003,0.216,75.243,0.033,2.5825,53.14,53.177,20.59128751,Outer Bay
8/15/2023,Causeway,8.916,0,0.373,0.038,79.047,8.55,2.3,60.239,69.155,30.0673913,Outer Bay
8/15/2023,Bells,2.08,0.421,0.35,0.025,37.153,1.728,0.899,29.0395,31.1195,34.61568409,Lake Erie
