sample,date,type,analytical_rep,sample_conc,df,final_conc
Bells_T,6/27/2023,Total,2,0.91067987,1,0.91067987
Bells_D,6/27/2023,Dissolved,1,0.206889548,1,0.206889548
Bells_D,6/27/2023,Dissolved,2,0.148222938,1,0.148222938
Bells_T,5/30/2023,Total,1,0.100713551,1,0.100713551
Bells_T,5/30/2023,Total,2,0.10590745,1,0.10590745
Bells_D,5/30/2023,Dissolved,1,Invalid,1,
Bells_D,5/30/2023,Dissolved,2,0.05618285,1,0.05618285
Muddy_Creek_T,7/11/2023,Total,1,0.123959687,1,0.123959687
Muddy_Creek_T,7/11/2023,Total,2,0.147745786,1,0.147745786
Muddy_Creek_D,7/11/2023,Dissolved,1,0.240049929,1,0.240049929
Muddy_Creek_D,7/11/2023,Dissolved,2,0.192323602,1,0.192323602
ODNR_4_T,7/11/2023,Total,1,0.198295375,1,0.198295375
ODNR_4_T,7/11/2023,Total,2,0.33995365,1,0.33995365
ODNR_4_D,7/11/2023,Dissolved,1,0.197804591,1,0.197804591
ODNR_4_D,7/11/2023,Dissolved,2,0.140861845,1,0.140861845
ODNR_6_T,7/11/2023,Total,1,0.429716197,1,0.429716197
ODNR_6_T,7/11/2023,Total,2,0.500946541,1,0.500946541
ODNR_6_D,7/11/2023,Dissolved,1,0.288693193,1,0.288693193
ODNR_6_D,7/11/2023,Dissolved,2,0.329096463,1,0.329096463
Bridge_T,7/11/2023,Total,1,0.216928797,1,0.216928797
Bridge_T,7/11/2023,Total,2,0.247795397,1,0.247795397
Bridge_D,7/11/2023,Dissolved,1,0.302949426,1,0.302949426
Bridge_D,7/11/2023,Dissolved,2,0.24252055,1,0.24252055
ODNR_2_T,7/11/2023,Total,1,0.229325567,1,0.229325567
ODNR_2_T,7/11/2023,Total,2,0.259712657,1,0.259712657
ODNR_2_D,7/11/2023,Dissolved,1,0.228818224,1,0.228818224
ODNR_2_D,7/11/2023,Dissolved,2,0.172486491,1,0.172486491
Buoy_2_T,7/11/2023,Total,1,0.603255692,1,0.603255692
Buoy_2_T,7/11/2023,Total,2,0.461732898,1,0.461732898
Buoy_2_D,7/11/2023,Dissolved,1,0.341013498,1,0.341013498
Buoy_2_D,7/11/2023,Dissolved,2,0.206576575,1,0.206576575
ODNR_1_T,7/11/2023,Total,1,0.414278706,1,0.414278706
ODNR_1_T,7/11/2023,Total,2,0.426090303,1,0.426090303
ODNR_1_D,7/11/2023,Dissolved,1,0.32643745,1,0.32643745
ODNR_1_D,7/11/2023,Dissolved,2,0.195941744,1,0.195941744
EC_1163_T,7/11/2023,Total,1,0.611213786,1,0.611213786
EC_1163_T,7/11/2023,Total,2,0.511246449,1,0.511246449
EC_1163_D,7/11/2023,Dissolved,1,0.208456717,1,0.208456717
EC_1163_D,7/11/2023,Dissolved,2,0.717408412,1,0.717408412
Causeway_T,7/11/2023,Total,1,0.247203783,1,0.247203783
Causeway_T,7/11/2023,Total,2,0.174492932,1,0.174492932
Causeway_D,7/11/2023,Dissolved,1,0.023466093,1,0.023466093
Causeway_D,7/11/2023,Dissolved,2,0.085307014,1,0.085307014
Bells_T,7/11/2023,Total,1,0.060218745,1,0.060218745
Bells_T,7/11/2023,Total,2,0.020723913,1,0.020723913
Bells_D,7/11/2023,Dissolved,1,0.069063266,1,0.069063266
Bells_D,7/11/2023,Dissolved,2,0.064719882,1,0.064719882
Muddy_Creek_T,7/18/2023,Total,1,0.045041727,1,0.045041727
Muddy_Creek_T,7/18/2023,Total,2,0.093087934,1,0.093087934
Muddy_Creek_D,7/18/2023,Dissolved,1,0.052300614,1,0.052300614
Muddy_Creek_D,7/18/2023,Dissolved,2,0.024411977,1,0.024411977
ODNR_4_T,7/18/2023,Total,1,0.247919801,1,0.247919801
ODNR_4_T,7/18/2023,Total,2,0.213996759,1,0.213996759
ODNR_4_D,7/18/2023,Dissolved,1,0.261228315,1,0.261228315
ODNR_4_D,7/18/2023,Dissolved,2,0.170018264,1,0.170018264
ODNR_6_T,7/18/2023,Total,1,0.872498282,1,0.872498282
ODNR_6_T,7/18/2023,Total,2,0.621246019,1,0.621246019
ODNR_6_D,7/18/2023,Dissolved,1,0.087989011,1,0.087989011
ODNR_6_D,7/18/2023,Dissolved,2,0.086117402,1,0.086117402
Bridge_T,7/18/2023,Total,1,0.415178036,1,0.415178036
Bridge_T,7/18/2023,Total,2,0.400922798,1,0.400922798
Bridge_D,7/18/2023,Dissolved,1,0.135646816,1,0.135646816
Bridge_D,7/18/2023,Dissolved,2,0.157161522,1,0.157161522
ODNR_2_T,7/18/2023,Total,1,0.307834395,1,0.307834395
ODNR_2_T,7/18/2023,Total,2,0.221296457,1,0.221296457
ODNR_2_D,7/18/2023,Dissolved,1,0.151506284,1,0.151506284
ODNR_2_D,7/18/2023,Dissolved,2,0.073706015,1,0.073706015
Buoy_2_T,7/18/2023,Total,1,0.285691355,1,0.285691355
Buoy_2_T,7/18/2023,Total,2,0.320272705,1,0.320272705
Buoy_2_D,7/18/2023,Dissolved,1,0.094832811,1,0.094832811
Buoy_2_D,7/18/2023,Dissolved,2,0.052661947,1,0.052661947
ODNR_1_T,7/18/2023,Total,1,0.26368549,1,0.26368549
ODNR_1_T,7/18/2023,Total,2,0.231704758,1,0.231704758
ODNR_1_D,7/18/2023,Dissolved,1,0.078659059,1,0.078659059
ODNR_1_D,7/18/2023,Dissolved,2,0.060889276,1,0.060889276
EC_1163_T,7/18/2023,Total,1,0.07378401,1,0.07378401
EC_1163_T,7/18/2023,Total,2,0.113924472,1,0.113924472
EC_1163_D,7/18/2023,Dissolved,1,0.080487291,1,0.080487291
EC_1163_D,7/18/2023,Dissolved,2,0.061262502,1,0.061262502
Causeway_T,7/18/2023,Total,1,1.695578017,1,1.695578017
Causeway_T,7/18/2023,Total,2,1.481494571,1,1.481494571
Causeway_D,7/18/2023,Dissolved,1,0.113748628,1,0.113748628
Causeway_D,7/18/2023,Dissolved,2,0.177364485,1,0.177364485
Bells_T,7/18/2023,Total,1,0.189674436,1,0.189674436
Bells_T,7/18/2023,Total,2,0.186092652,1,0.186092652
Bells_D,7/18/2023,Dissolved,1,0.110597852,1,0.110597852
Bells_D,7/18/2023,Dissolved,2,0.07456506,1,0.07456506
Muddy_Creek_T,8/1/2023,Total,1,0.373060157,1,0.373060157
Muddy_Creek_T,8/1/2023,Total,2,0.227331387,1,0.227331387
Muddy_Creek_D,8/1/2023,Dissolved,1,0.17613152,1,0.17613152
Muddy_Creek_D,8/1/2023,Dissolved,2,0.220844027,1,0.220844027
ODNR_4_T,8/1/2023,Total,1,0.389441047,1,0.389441047
ODNR_4_T,8/1/2023,Total,2,0.382410107,1,0.382410107
ODNR_4_D,8/1/2023,Dissolved,1,0.157063365,1,0.157063365
ODNR_4_D,8/1/2023,Dissolved,2,0.201350845,1,0.201350845
ODNR_6_T,8/1/2023,Total,1,0.459096218,1,0.459096218
ODNR_6_T,8/1/2023,Total,2,0.349008636,1,0.349008636
ODNR_6_D,8/1/2023,Dissolved,1,0.202981091,1,0.202981091
ODNR_6_D,8/1/2023,Dissolved,2,0.251996453,1,0.251996453
Bridge_T,8/1/2023,Total,3,0.467376028,1,0.467376028
Bridge_T,8/1/2023,Total,4,0.438175111,1,0.438175111
Bridge_D,8/1/2023,Dissolved,1,0.162098767,1,0.162098767
Bridge_D,8/1/2023,Dissolved,2,0.171132623,1,0.171132623
ODNR_2_T,8/1/2023,Total,1,0.583901433,1,0.583901433
ODNR_2_T,8/1/2023,Total,2,0.450410721,1,0.450410721
ODNR_2_D,8/1/2023,Dissolved,1,0.172351557,1,0.172351557
ODNR_2_D,8/1/2023,Dissolved,2,0.174288539,1,0.174288539
Buoy_2_T,8/1/2023,Total,1,0.319862727,1,0.319862727
Buoy_2_T,8/1/2023,Total,2,0.541739347,1,0.541739347
Muddy_Creek_T,7/25/2023,Total,1,0.274908698,1,0.274908698
Muddy_Creek_T,7/25/2023,Total,2,0.140934728,1,0.140934728
Muddy_Creek_D,7/25/2023,Dissolved,1,0.114744256,1,0.114744256
Muddy_Creek_D,7/25/2023,Dissolved,2,0.164541315,1,0.164541315
ODNR_4_T,7/25/2023,Total,1,0.379366689,1,0.379366689
ODNR_4_T,7/25/2023,Total,2,0.269989605,1,0.269989605
ODNR_4_D,7/25/2023,Dissolved,1,0.307405588,1,0.307405588
ODNR_4_D,7/25/2023,Dissolved,2,0.24444485,1,0.24444485
ODNR_6_T,7/25/2023,Total,1,0.465791599,1,0.465791599
ODNR_6_T,7/25/2023,Total,2,0.351451269,1,0.351451269
ODNR_6_D,7/25/2023,Dissolved,1,0.18205915,1,0.18205915
ODNR_6_D,7/25/2023,Dissolved,2,0.174166639,1,0.174166639
ODNR_2_T,7/25/2023,Total,1,0.467811849,1,0.467811849
ODNR_2_T,7/25/2023,Total,2,0.580364394,1,0.580364394
ODNR_2_D,7/25/2023,Dissolved,1,0.204873622,1,0.204873622
ODNR_2_D,7/25/2023,Dissolved,2,0.272561871,1,0.272561871
Buoy_2_T,7/25/2023,Total,1,0.513784789,1,0.513784789
Buoy_2_T,7/25/2023,Total,2,0.427740448,1,0.427740448
Buoy_2_D,7/25/2023,Dissolved,1,0.173147693,1,0.173147693
Buoy_2_D,7/25/2023,Dissolved,2,0.09128236,1,0.09128236
ODNR_1_T,7/25/2023,Total,1,0.327293253,1,0.327293253
ODNR_1_T,7/25/2023,Total,2,0.367416927,1,0.367416927
ODNR_1_D,7/25/2023,Dissolved,1,0.255668752,1,0.255668752
ODNR_1_D,7/25/2023,Dissolved,2,0.24276001,1,0.24276001
Causeway_T,7/25/2023,Total,1,0.328436526,1,0.328436526
Causeway_T,7/25/2023,Total,2,0.226022365,1,0.226022365
Causeway_D,7/25/2023,Dissolved,1,0.11873916,1,0.11873916
Causeway_D,7/25/2023,Dissolved,2,0.134604521,1,0.134604521
Bells_T,7/25/2023,Total,1,0.080551387,1,0.080551387
Bells_T,7/25/2023,Total,2,0.061565648,1,0.061565648
Bells_D,7/25/2023,Dissolved,1,0.142500287,1,0.142500287
Bells_D,7/25/2023,Dissolved,2,0.12639628,1,0.12639628
Bridge_D,7/25/2023,Dissolved,1,0.298830763,1,0.298830763
Bridge_D,7/25/2023,Dissolved,2,0.218179972,1,0.218179972
Buoy_2_D,8/1/2023,Dissolved,1,0.130345932,1,0.130345932
Buoy_2_D,8/1/2023,Dissolved,2,0.282948608,1,0.282948608
ODNR_1_T,8/1/2023,Total,1,0.370114518,1,0.370114518
ODNR_1_T,8/1/2023,Total,2,0.318591343,1,0.318591343
ODNR_1_D,8/1/2023,Dissolved,1,0.248844682,1,0.248844682
ODNR_1_D,8/1/2023,Dissolved,2,0.256126096,1,0.256126096
EC_1163_T,8/1/2023,Total,1,0.204873622,1,0.204873622
EC_1163_T,8/1/2023,Total,2,0.207643184,1,0.207643184
EC_1163_D,8/1/2023,Dissolved,1,0.153345339,1,0.153345339
EC_1163_D,8/1/2023,Dissolved,2,0.216665119,1,0.216665119
Causeway_T,8/1/2023,Total,1,0.300171113,1,0.300171113
Causeway_T,8/1/2023,Total,2,0.25043095,1,0.25043095
Causeway_D,8/1/2023,Dissolved,1,0.21558506,1,0.21558506
Causeway_D,8/1/2023,Dissolved,2,0.161025327,1,0.161025327
Bells_T,8/1/2023,Total,1,0.666940619,1,0.666940619
Bells_T,8/1/2023,Total,2,0.696091959,1,0.696091959
Bells_D,8/1/2023,Dissolved,1,0.176822359,1,0.176822359
Bells_D,8/1/2023,Dissolved,2,0.100232039,1,0.100232039
Muddy_Creek_T,8/15/2023,Total,1,0.235061882,1,0.235061882
Muddy_Creek_T,8/15/2023,Total,2,0.352635828,1,0.352635828
Muddy_Creek_D,8/15/2023,Dissolved,1,0.338684185,1,0.338684185
Muddy_Creek_D,8/15/2023,Dissolved,2,0.209995056,1,0.209995056
ODNR_4_T,8/15/2023,Total,1,0.348826256,1,0.348826256
ODNR_4_T,8/15/2023,Total,2,0.301391904,1,0.301391904
ODNR_4_D,8/15/2023,Dissolved,1,0.183606415,1,0.183606415
ODNR_4_D,8/15/2023,Dissolved,2,0.049141391,1,0.049141391
ODNR_6_T,8/15/2023,Total,1,0.339329811,1,0.339329811
ODNR_6_T,8/15/2023,Total,2,0.349088303,1,0.349088303
ODNR_6_D,8/15/2023,Dissolved,1,0.270923859,1,0.270923859
ODNR_6_D,8/15/2023,Dissolved,2,0.226789498,1,0.226789498
Bridge_T,8/15/2023,Total,1,0.376086922,1,0.376086922
Bridge_T,8/15/2023,Total,2,0.472809648,1,0.472809648
Bridge_D,8/15/2023,Dissolved,1,0.295794275,1,0.295794275
Bridge_D,8/15/2023,Dissolved,2,0.260370973,1,0.260370973
ODNR_2_T,8/15/2023,Total,1,0.378955858,1,0.378955858
ODNR_2_T,8/15/2023,Total,2,0.35567241,1,0.35567241
ODNR_2_D,8/15/2023,Dissolved,3,0.24354576,1,0.24354576
ODNR_2_D,8/15/2023,Dissolved,4,0.246584869,1,0.246584869
Buoy_2_T,8/15/2023,Total,1,0.212032473,1,0.212032473
Buoy_2_T,8/15/2023,Total,2,0.154437918,1,0.154437918
Buoy_2_D,8/15/2023,Dissolved,1,0.380326252,1,0.380326252
Buoy_2_D,8/15/2023,Dissolved,2,0.08599902,1,0.08599902
EC_1163_T,8/15/2023,Total,1,0.277853582,1,0.277853582
EC_1163_T,8/15/2023,Total,2,0.329963881,1,0.329963881
EC_1163_D,8/15/2023,Dissolved,1,0.15573109,1,0.15573109
EC_1163_D,8/15/2023,Dissolved,2,0.106803171,1,0.106803171
Causeway_T,8/15/2023,Total,1,0.178065712,1,0.178065712
Causeway_T,8/15/2023,Total,2,0.107539084,1,0.107539084
Causeway_D,8/15/2023,Dissolved,1,0.135519406,1,0.135519406
Causeway_D,8/15/2023,Dissolved,2,Invalid,1,
Bells_T,8/15/2023,Total,1,0.099394827,1,0.099394827
Bells_T,8/15/2023,Total,2,0.028710436,1,0.028710436
Bells_D,8/15/2023,Dissolved,1,0.118662842,1,0.118662842
Bells_D,8/15/2023,Dissolved,2,Invalid,1,
ODNR_1_T,8/15/2023,Total,1,0.256120559,1,0.256120559
ODNR_1_T,8/15/2023,Total,2,0.174538808,1,0.174538808
ODNR_1_D,8/15/2023,Dissolved,1,Invalid,1,
ODNR_1_D,8/15/2023,Dissolved,2,Invalid,1,
Muddy_Creek_T,8/8/2023,Total,1,0.176008966,1,0.176008966
Muddy_Creek_T,8/8/2023,Total,2,0.152792195,1,0.152792195
Muddy_Creek_D,8/8/2023,Dissolved,1,0.094857983,1,0.094857983
Muddy_Creek_D,8/8/2023,Dissolved,2,0.11664246,1,0.11664246
ODNR_4_T,8/8/2023,Total,1,0.394576912,1,0.394576912
ODNR_4_T,8/8/2023,Total,2,0.152195988,1,0.152195988
