Site,Date,time_on,Air_Temperature,Weather,Wave_Height,Site_Depth,Secchi,time_off,Water_Temperature,Dissolved_Oxygen,SPC,Conductivity,pH,pH_mV,Turbidity,pc_rfu,Phycocyanin,chl_rfu,Chlorophyll_Sonde
EC_1163,6/13/2023,12:37,15.56,4,2.5,6.92,42.5,12:51,18.396,8.65,306.6,267.9,8.28,-104.1,18.5,1.49,1.55,2.32,9.22
Causeway,6/13/2023,12:56,16.11,4,2,0.91,45,13:00,18.595,8.64,348.2,305.6,8.25,-102.6,20.41,1.5,1.56,4.31,17.18
Bells,6/13/2023,13:21,16.11,4,2,9.08,60,13:45,18.401,8.57,267.1,233.5,8.08,-93.1,11.17,0.24,0.24,0.34,1.29
Muddy Creek,6/20/2023,9:59,23.33,3,0.5,1.2,12.5,10:15,22.57,9.53,689,657,8.58,-122.2,51.93,3.33,3.48,18.93,75.69
ODNR_4,6/20/2023,10:22,23.89,3,1,1.6,15,10:37,22.28,9.1,540.5,512.5,8.78,-133.5,72,4.73,4.95,12.84,51.33
ODNR_6,6/20/2023,10:44,23.89,3,1.5,2.3,47.5,11:04,21.78,8.27,503,472,8.44,-114,16.87,1.5,1.55,1.82,7.19
Bridge,6/20/2023,11:10,23.89,3,1.5,3.8,,11:26,21.71,6.83,476.6,446.7,8.12,-95.7,20.85,2.12,2.2,2.01,7.97
ODNR_2,6/20/2023,11:37,23.89,3,2,2.5,37.5,11:54,21.99,8.16,414,390.2,8.6,-123.7,21.32,1.56,1.62,1.55,6.12
Buoy_2,6/20/2023,11:58,23.89,3,2.5,2.8,40,12:18,21.75,9.37,387.6,363.5,8.83,-136.7,13.33,1.97,2.05,4.09,16.29
ODNR_1,6/20/2023,12:21,23.33,3,2.5,3,47.5,12:40,21.52,9.44,363.7,339.5,8.73,-130.6,13.31,1.43,1.48,4.04,16.09
EC_1163,6/20/2023,12:48,23.33,3,3,3.5,55,13:06,21.96,9.98,388.3,365.8,8.79,-134.4,10.63,1.85,1.92,4.14,16.5
Causeway,6/20/2023,13:28,23.33,3,2,1.3,55,13:49,21.92,8.37,342.4,322.2,8.57,-121.4,13.53,0.99,1.02,10.55,42.14
Muddy Creek,6/27/2023,9:39,18.333,4,0,0.67056,15,9:54,22.628,6.26,621.8,593.6,8.28,-105,136.25,3.02,3.16,13.02,52.05
ODNR_4,6/27/2023,9:58,18.333,4,0.5,1.12776,20,10:12,22.446,6.37,624.6,594.2,8.44,-114.3,51.21,4.46,4.67,16.37,65.46
ODNR_6,6/27/2023,10:17,18.333,4,0.5,1.8288,25,10:31,22.439,6.9,505.6,480.9,8.29,-105.6,35.84,1.17,1.21,2.72,10.83
Bridge,6/27/2023,10:37,18.888,4,0.5,4.1148,,10:49,22.602,6.57,505.3,482.2,8.11,-95.7,49.55,1.61,1.67,3.42,13.62
ODNR_2,6/27/2023,11:30,19.444,4,0.5,2.286,35,11:42,22.391,6.98,449,426.6,8.16,-98.3,22.86,0.95,0.98,2.69,10.68
Buoy_2,6/27/2023,11:45,19.444,4,0.5,2.37744,35,11:56,22.385,7.02,410,389.5,8.1,-95.1,22.99,0.76,0.78,3.35,13.35
ODNR_1,6/27/2023,12:00,19.444,4,1,2.77368,35,12:14,21.91,7.75,344.4,324.1,8.3,-106,25.93,0.88,0.91,2.4,9.53
EC_1163,6/27/2023,12:18,20,4,1.5,7.49808,50,12:32,21.363,7.7,297,276.4,8.19,-99.7,18.25,0.43,0.44,1.23,4.84
Causeway,6/27/2023,13:05,20,4,1,0.97536,35,13:12,22.222,7.78,379.1,359,8.24,-102.8,29.6,0.9,0.92,2.6,10.34
Bells,6/27/2023,12:45,20,4,2.5,9.7536,77.5,12:56,21.925,7.6,340.6,320.6,8.22,-101.9,8.99,0.66,0.68,2.49,9.88
Muddy Creek,07/11/2023,10:00,24.444,1,0,0.762,20,10:20,25.521,8.12,632.8,639.1,8.28,-106.2,44.65,1.56,1.62,9.03,36.05
ODNR_4,07/11/2023,10:25,24.444,1,0,1.0668,32.5,10:40,24.258,7.79,534,526.5,8.4,-112.3,20.86,3.82,4,10.54,42.13
ODNR_6,07/11/2023,10:45,25.555,1,0.25,1.79832,45,11:00,24.96,9.34,475.1,474.8,8.57,-122.8,24.65,6.52,6.83,6.32,25.22
Bridge,07/11/2023,11:07,25.555,1,0.5,3.3528,,11:18,25.439,9.13,469.4,473.4,8.58,-123.1,23.27,4.68,4.9,3.2,12.74
ODNR_2,07/11/2023,11:38,25.555,3,0.5,2.04216,52.5,11:52,24.773,7.94,447.9,446,8.56,-122,12.82,3.49,3.64,3.47,13.82
Buoy_2,07/11/2023,11:55,25.555,3,0.5,2.286,47.5,12:10,25.039,9.29,420.1,420.5,8.68,-129.1,16.52,2.9,3.02,3.99,15.88
ODNR_1,07/11/2023,12:13,25.555,3,0.75,2.40792,45,12:26,25.083,9.4,401.4,402,8.69,-129.7,13.53,2.92,3.05,3.78,15.06
EC_1163,07/11/2023,12:30,26.666,3,0.75,3.5052,57.5,00:00,24.899,11.09,350.6,349.9,8.81,-136.3,9.09,1.89,1.97,3.99,15.91
Causeway,07/11/2023,13:10,26.666,3,0.5,3.99288,35,00:00,25.611,8.76,363.8,368,8.64,-126.6,26.75,1.45,1.5,2.82,11.23
Bells,07/11/2023,12:50,26.666,3,0.75,9.02208,115,00:00,24.726,9.52,283.9,282.4,8.84,-138.3,1.32,0.52,0.53,1.03,4.05
